,alcoholic,drink,glass,ingredients,ingredients_and_quantities,instructions
0,Alcoholic,155 Belmont,White wine glass,"Orange juice, Vodka, Light rum, Dark rum, ","Orange juice - 1 shot , Vodka - 1 shot , Light rum - 2 shots , Dark rum - 1 shot , ",Blend with ice. Serve in a wine glass. Garnish with carrot.
1,Alcoholic,1-900-FUK-MEUP,Old-fashioned glass,"Pineapple juice, Cranberry juice, Amaretto, Malibu rum, Midori melon liqueur, Chambord raspberry liqueur, Grand Marnier, Absolut Kurant, ","Pineapple juice - 1/4 oz , Cranberry juice - 1/2 oz , Amaretto - 1/4 oz , Malibu rum - 1/4 oz , Midori melon liqueur - 1/4 oz , Chambord raspberry liqueur - 1/4 oz , Grand Marnier - 1/4 oz , Absolut Kurant - 1/2 oz , ",Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.
2,Alcoholic,110 in the shade,Beer Glass,"Tequila, Lager, ","Tequila - 1.5 oz , Lager - 16 oz , ",Drop shooter in glass. Fill with beer
3,Alcoholic,151 Florida Bushwacker,Beer mug,"Vanilla ice-cream, Coconut liqueur, Milk, Cointreau, Dark Creme de Cacao, 151 proof rum, Light rum, Malibu rum, ","Vanilla ice-cream - 1 cup , Coconut liqueur - 1 oz , Milk - 3 oz , Cointreau - 1 oz , Dark Creme de Cacao - 1 oz , 151 proof rum - 1/2 oz Bacardi , Light rum - 1/2 oz , Malibu rum - 1/2 oz , ",Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.
4,Alcoholic,252,Shot glass,"Wild Turkey, 151 proof rum, ","Wild Turkey - 1/2 shot , 151 proof rum - 1/2 shot Bacardi , ","Add both ingredients to shot glass, shoot, and get drunk quick"
5,Alcoholic,24k nightmare,Shot glass,"151 proof rum, Rumple Minze, J�germeister, Goldschlager, ","151 proof rum - 1/2 oz Bacardi , Rumple Minze - 1/2 oz , J�germeister - 1/2 oz , Goldschlager - 1/2 oz , ","Add over ice,shake and pour."
6,Alcoholic,3 Wise Men,Collins glass,"Jim Beam, Johnnie Walker, Jack Daniels, ","Jim Beam - 1/3 oz , Johnnie Walker - 1/3 oz , Jack Daniels - 1/3 oz , ",put them them in a glass... and slam it to tha head.
7,Alcoholic,3-Mile Long Island Iced Tea,Collins Glass,"Lemon, Bitters, Sweet and sour, Coca-Cola, Vodka, Triple sec, Tequila, Light rum, Gin, ","Lemon - Garnish with, Bitters - 1 wedge , Sweet and sour - 1-2 dash , Coca-Cola - 1/2 oz, Vodka - 1/2 oz, Triple sec - 1/2 oz, Tequila - 1/2 oz, Light rum - 1/2 oz, Gin - 1/2 oz, ",Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.
8,Alcoholic,410 Gone,Collins Glass,"Coca-Cola, Peach Vodka, ","Coca-Cola, Peach Vodka - 2-3 oz, ",
9,Alcoholic,50/50,Collins Glass,"Orange juice, Grand Marnier, Vanilla vodka, ","Orange juice - Fill with , Grand Marnier - 1 splash , Vanilla vodka - 2 1/2 oz , ",fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.
10,Alcoholic,501 Blue,Collins Glass,"7-Up, Sour mix, Vodka, Blueberry schnapps, Blue Curacao, ","7-Up, Sour mix, Vodka, Blueberry schnapps, Blue Curacao, ",Mix equal amounts into a glass with ice.
11,Alcoholic,57 Chevy with a White License Plate,Highball glass,"Vodka, Creme de Cacao, ","Vodka - 1 oz , Creme de Cacao - 1 oz white , ",1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir
12,Alcoholic,69 Special,Collins Glass,"Lemon juice, 7-Up, Gin, ","Lemon juice - 0.75 oz , 7-Up - 4 oz , Gin - 2 oz dry , ","Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up."
13,Alcoholic,747,Shot glass,"Frangelico, Baileys irish cream, Kahlua, ","Frangelico - 1/3 part , Baileys irish cream - 1/3 part , Kahlua - 1/3 part , ","pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!"
14,Alcoholic,747 Drink,Highball glass,"Sprite, Cranberry Juice, Roses sweetened lime juice, Vodka, ","Sprite - Top, Cranberry Juice - 1 oz, Roses sweetened lime juice - 1 oz, Vodka - 1 oz, ","Fill a Collins glass with ice.

Pour in vodka, lime cordial, and cranberry juice.

Fill up with Sprite.

Garnish with a Lime wheel or some cranberries"
15,Alcoholic,9 1/2 Weeks,Cocktail glass,"Orange juice, Strawberry liqueur, Orange Curacao, Absolut Citron, ","Orange juice - 1 oz , Strawberry liqueur - 1 splash , Orange Curacao - 1/2 oz , Absolut Citron - 2 oz , ",Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.
16,Alcoholic,A1,Cocktail glass,"Grenadine, Lemon Juice, Grand Marnier, Gin, ","Grenadine - 1/8 Shot, Lemon Juice - 1/4 Shot, Grand Marnier - 1 Shot , Gin - 1 3/4 shot , ","Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass."
17,Alcoholic,ABC,Shot glass,"Cognac, Baileys irish cream, Amaretto, ","Cognac - 1/3 , Baileys irish cream - 1/3 , Amaretto - 1/3 , ",Layered in a shot glass.
18,Alcoholic,Ace,Martini Glass,"Egg White, Milk, Heavy cream, Grenadine, Gin, ","Egg White - 1/2 Fresh, Milk - 1/2 shot, Heavy cream - 1/2 shot , Grenadine - 1/2 shot , Gin - 2 shots , ",Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.
19,Alcoholic,ACID,Shot glass,"Wild Turkey, 151 proof rum, ","Wild Turkey - 1 oz , 151 proof rum - 1 oz Bacardi , ",Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.
20,Alcoholic,Adam,Cocktail glass,"Grenadine, Lemon juice, Dark rum, ","Grenadine - 1 tsp , Lemon juice - 1 oz , Dark rum - 2 oz , ","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
21,Alcoholic,AT&T,Highball Glass,"Tonic water, Gin, Absolut Vodka, ","Tonic water - 4 oz , Gin - 1 oz , Absolut Vodka - 1 oz , ","Pour Vodka and Gin over ice, add Tonic and Stir"
22,Alcoholic,A. J.,Cocktail glass,"Grapefruit juice, Applejack, ","Grapefruit juice - 1 oz , Applejack - 1 1/2 oz , ","Shake ingredients with ice, strain into a cocktail glass, and serve."
23,Alcoholic,Avalon,Highball glass,"Lemonade, Lemon juice, Apple juice, Pisang Ambon, Vodka, ","Lemonade, Lemon juice - 1 1/2 part , Apple juice - 6 parts , Pisang Ambon - 1 part , Vodka - 3 parts, ","Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition."
24,Non alcoholic,Apello,Collins Glass,"Maraschino cherry, Apple juice, Grapefruit juice, Orange juice, ","Maraschino cherry - 1 , Apple juice - 1 cl , Grapefruit juice - 3 cl , Orange juice - 4 cl , ",Stirr. Grnish with maraschino cherry.
25,Alcoholic,Affair,Highball glass,"Club soda, Cranberry juice, Orange juice, Strawberry schnapps, ","Club soda, Cranberry juice - 2 oz , Orange juice - 2 oz , Strawberry schnapps - 2 oz , ","Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve."
