Address,City,State,Link,Latitude,Longitude,Franchise,ZipCode,
982 Macon St,Warner Robins,GA,us/ga/warnerrobins/982maconst/-2061630068,32.59495,-83.58338,Burger King,31098,"http://www.bk.com,https://locations.bk.com/ga/warner-robins/982-macon-st.html,https://www.bk.com"
6060 San Mateo Blvd NE,Albuquerque,NM,us/nm/albuquerque/6060sanmateoblvdne/-2061630068,35.144456,-106.585927,Burger King,87109,"http://www.bk.com,https://locations.bk.com/nm/albuquerque/6060-san-mateo-ne.html,https://www.bk.com"
18000 Bagley Rd,Cleveland,OH,us/oh/cleveland/18000bagleyrd/-2061630068,41.373042,-81.826072,Burger King,44130,http://www.bk.com
225 Grant Ave,Auburn,NY,us/ny/auburn/225grantave/-2061630068,42.94987,-76.54722,Burger King,13021,"http://www.bk.com,https://locations.bk.com/ny/auburn/225-grant-ave.html"
Co-Op City,Bronx,NY,us/ny/bronx/opcity/-2061630068,40.8691,-73.8248,Burger King,10475,http://www.bk.com
793 Roosevelt Trl,Windham,ME,us/me/windham/793roosevelttrl/-2061630068,43.83887,-70.44217,Burger King,4062,"http://www.bk.com,https://locations.bk.com/me/windham/793-roosevelt-trl.html,https://locations.bk.com/me/north-windham/793-roosevelt-trl.html"
300 W Esplanade Ave,Kenner,LA,us/la/kenner/300wesplanadeave/-2061630068,30.02306,-90.26933,Burger King,70065,"http://www.bk.com,https://locations.bk.com/la/kenner/300-w-esplanade-ave.html,https://www.bk.com"
976 William H Wilson Ave Ste 100,Fort Stewart,GA,us/ga/fortstewart/976williamhwilsonaveste100/-2061630068,31.8613,-81.61078,Burger King,31314,"https://locations.bk.com/ga/fort-stewart/976-william-h-wilson-ave.html,http://www.bk.com"
2013 US Route 20,Seneca Falls,NY,us/ny/senecafalls/2013usroute20/-2061630068,42.9037,-76.8312,Burger King,13148,"http://www.bk.com,https://locations.bk.com/ny/seneca-falls/2013-route-5.html,https://www.bk.com"
31305 Vine St,Eastlake,OH,us/oh/eastlake/31305vinest/-2061630068,41.642781,-81.468481,Burger King,44095,http://www.bk.com
220 S Main St,Atmore,AL,us/al/atmore/220smainst/-2061630068,31.02181,-87.49386,Burger King,36502,"http://www.bk.com,https://locations.bk.com/al/atmore/220-south-main-st.html,https://www.bk.com"
