Address,City,State,Link,Latitude,Longitude,Franchise,ZipCode,Url
101 Thomas Garst Ln,Leland,US,us/nc/leland/101thomasgarstln/-864103396,34.23389,-77.99544,Taco Bell,28451,NC,"http://www.tacobell.com,https://locations.tacobell.com/nc/leland/101-thomas-garst-lane.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=030564andutm_content=website"
105 Business Loop W,Jamestown,US,us/nd/jamestown/105businessloopw/-864103396,46.898997,-98.707788,Taco Bell,58401,ND,"http://www.tacobell.com,https://locations.tacobell.com/nd/jamestown/105-business-loop-west.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=019434andutm_content=website"
100 Northside Dr,Bennington,US,us/vt/bennington/100northsidedr/-864103396,42.89413,-73.20316,Taco Bell,5201,VT,"http://www.tacobell.com,https://locations.tacobell.com/vt/bennington/100-northside-drive.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=033371andutm_content=website"
344 S Service Rd E,Sullivan,US,us/mo/sullivan/344sservicerde/-864103396,38.22303,-91.15696,Taco Bell,63080,MO,"http://www.tacobell.com,https://locations.tacobell.com/mo/sullivan/344-s-service-rd-e.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=029633andutm_content=website"
2124 S 1st St,Yakima,US,us/wa/yakima/2124s1stst/-864103396,46.57144,-120.48825,Taco Bell,98903,WA,"https://locations.tacobell.com/wa/yakima/2124-s-1st-street.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=030512andutm_content=website,http://www.tacobell.com"
406 S Thompson St,Springdale,US,us/ar/springdale/406sthompsonst/-864103396,36.182436,-94.138658,Taco Bell,72764,AR,"http://www.tacobell.com,https://locations.tacobell.com/ar/springdale/406-s--thompson.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=003271andutm_content=website"
955 S Main St,Brigham City,US,us/ut/brighamcity/955smainst/-864103396,41.49113,-112.01555,Taco Bell,84302,UT,"http://www.tacobell.com,https://locations.tacobell.com/ut/brigham-city/955-south-main-street.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=020036andutm_content=website"
1014 Highway 82 E,Indianola,US,us/ms/indianola/1014highway82e/-864103396,33.45785,-90.63563,Taco Bell,38751,MS,"http://www.tacobell.com,https://locations.tacobell.com/ms/indianola/1014-highway-82.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=C412001andutm_content=website"
1418 W Sunset Blvd,Saint George,US,us/ut/saintgeorge/1418wsunsetblvd/-864103396,37.122977,-113.613499,Taco Bell,84770,UT,"http://www.tacobell.com,https://locations.tacobell.com/ut/saint-george/1418-west-sunset-blvd.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=025391andutm_content=website"
610 E Saint George Blvd,Saint George,US,us/ut/saintgeorge/610esaintgeorgeblvd/-864103396,37.109869,-113.570286,Taco Bell,84770,UT,"http://www.tacobell.com,https://locations.tacobell.com/ut/saint-george/610-east-st-george-blvd.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=025385andutm_content=website"
1228 Saint Charles St,Houma,US,us/la/houma/1228saintcharlesst/-864103396,29.58875,-90.74346,Taco Bell,70360,LA,"http://www.tacobell.com,https://locations.tacobell.com/la/houma/1228-saint-charles-street.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=024689andutm_content=website"
725 Sterlington Hwy,Farmerville,US,us/la/farmerville/725sterlingtonhwy/-864103396,32.7715,-92.39699,Taco Bell,71241,LA,"https://locations.tacobell.com/la/farmerville/725-sterlington-highway.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=G135477andutm_content=website,http://www.tacobell.com"
602 Highway 31 SW,Hartselle,US,us/al/hartselle/602highway31sw/-864103396,34.439438,-86.940455,Taco Bell,35640,AL,"http://www.tacobell.com,https://locations.tacobell.com/al/hartselle/602-highway-31-south.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=029149andutm_content=website"
3716 7th St,Bay City,US,us/tx/baycity/37167thst/-864103396,28.9826,-95.94636,Taco Bell,77414,TX,"https://locations.tacobell.com/tx/bay-city/3716-seventh-street.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=H758001andutm_content=website,http://www.tacobell.com"
1306 Scotland Crossing Dr,Laurinburg,US,us/nc/laurinburg/1306scotlandcrossingdr/-864103396,34.760626,-79.487148,Taco Bell,28352,NC,"http://www.tacobell.com,https://locations.tacobell.com/nc/laurinburg/1306-scotland-crossing.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=004184andutm_content=website"
1005 S 14th St,Kingsville,US,us/tx/kingsville/1005s14thst/-864103396,27.50749,-97.85649,Taco Bell,78363,TX,"http://www.tacobell.com,https://locations.tacobell.com/tx/kingsville/1005-south-14th-street.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=016215andutm_content=website"
404 N Wood St,Gilmer,US,us/tx/gilmer/404nwoodst/-864103396,32.73227,-94.94278,Taco Bell,75644,TX,"http://www.tacobell.com,https://locations.tacobell.com/tx/gilmer/404-north-wood.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=018402andutm_content=website"
705 N McCoy Blvd,New Boston,US,us/tx/newboston/705nmccoyblvd/-864103396,33.4717,-94.4091,Taco Bell,75570,TX,"http://www.tacobell.com,https://locations.tacobell.com/tx/new-boston/705-n--mccoy-boulevard.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=G135401andutm_content=website"
1518 N Ed Carey Dr,Harlingen,US,us/tx/harlingen/1518nedcareydr/-864103396,26.17221,-97.67362,Taco Bell,78550,TX,"http://www.tacobell.com,https://locations.tacobell.com/tx/harlingen/1518-ed-carey-road.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=016925andutm_content=website"
1630 S Broadway,Minot,US,us/nd/minot/1630sbroadway/-864103396,48.21665,-101.29666,Taco Bell,58701,ND,"http://www.tacobell.com,https://locations.tacobell.com/nd/minot/1630-south-broadway.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=017160andutm_content=website"
