c_fips,county,state,total,per_capita
1001,Autauga,AL,1,1.82E-05
1003,Baldwin,AL,3,1.48E-05
1003,Baldwin,FL,1,4.93E-06
1009,Blount,AL,1,1.74E-05
1117,Shelby,AL,8,3.83E-05
1125,Tuscaloosa,AL,6,2.93E-05
1127,Walker,AL,1,1.54E-05
2020,Anchorage,AK,4,1.34E-05
2050,Bethel,AK,3,0.0001670843776
4003,Cochise,AZ,2,1.58E-05
4005,Coconino,AZ,3,2.16E-05
4021,Pinal,AZ,3,7.40E-06
4025,Yavapai,AZ,6,2.72E-05
5007,Benton,AR,4,1.59E-05
5031,Craighead,AR,2,1.91E-05
5045,Faulkner,AR,2,1.65E-05
5051,Garland,AR,1,1.02E-05
5145,White,AR,3,3.80E-05
6001,Alameda,CA,35,2.14E-05
6005,Amador,CA,1,2.70E-05
6007,Butte,CA,5,2.23E-05
6013,Contra Costa,CA,19,1.69E-05
6017,El Dorado,CA,4,2.17E-05
6019,Fresno,CA,8,8.25E-06
6019,Fresno,OR,1,1.03E-06
6037,Los Angeles,LA,1,9.92E-08
6055,Napa,NV,1,7.10E-06
6059,Orange,OR,1,3.18E-07
6081,San Mateo,CA,15,1.96E-05
6085,Santa Clara,CA,42,2.19E-05
6087,Santa Cruz,CA,6,2.19E-05
6089,Shasta,CA,3,1.68E-05
6093,Siskiyou,CA,2,4.62E-05
6095,Solano,CA,7,1.62E-05
6097,Sonoma,CA,6,1.20E-05
6099,Stanislaus,CA,4,7.50E-06
6103,Tehama,CA,1,1.58E-05
6107,Tulare,CA,3,6.56E-06
6109,Tuolumne,CA,4,7.46E-05
6111,Ventura,CA,5,5.91E-06
6113,Yolo,CA,2,9.43E-06
8041,El Paso,CO,10,1.48E-05
8059,Jefferson,CO,14,2.48E-05
8069,Larimer,CO,4,1.20E-05
8077,Mesa,CO,1,6.76E-06
8089,Otero,CO,1,5.50E-05
8093,Park,CO,1,5.98E-05
8097,Pitkin,CO,1,5.57E-05
8119,Teller,CO,2,8.55E-05
8123,Weld,CO,1,3.50E-06
9011,New London,CT,1,3.71E-06
9013,Tolland,CT,1,6.59E-06
9015,Windham,CT,1,8.58E-06
10001,Kent,DE,3,1.73E-05
10003,New Castle,DE,8,1.45E-05
10005,Sussex,DE,1,4.66E-06
11001,District of Columbia,DC,17,2.52E-05
11001,District of Columbia,VI,1,1.48E-06
12001,Alachua,FL,5,1.93E-05
12001,Alachua,GA,1,3.86E-06
12117,Seminole,FL,3,6.69E-06
12119,Sumter,FL,2,1.71E-05
12123,Taylor,FL,1,4.47E-05
12127,Volusia,FL,7,1.35E-05
13011,Banks,GA,1,5.44E-05
13013,Barrow,GA,7,9.34E-05
13097,Douglas,GA,4,2.85E-05
13221,Oglethorpe,FL,1,6.79E-05
13297,Walton,GA,4,4.53E-05
13299,Ware,GA,1,2.83E-05
13305,Wayne,GA,4,0.0001359157322
13311,White,GA,4,0.0001409095713
13313,Whitfield,GA,1,9.65E-06
13317,Wilkes,GA,1,0.0001008979921
15001,Hawaii,HI,1,5.10E-06
15003,Honolulu,HI,6,6.05E-06
15003,Honolulu,WV,1,1.01E-06
15009,Maui,HI,1,6.10E-06
16001,Ada,ID,15,3.47E-05
16067,Minidoka,ID,1,4.89E-05
16069,Nez Perce,ID,1,2.50E-05
16083,Twin Falls,ID,2,2.43E-05
17019,Champaign,IL,5,2.39E-05
17031,Cook,IL,67,1.28E-05
17031,Cook,IN,1,1.91E-07
17117,Macoupin,IL,1,2.18E-05
17133,Monroe,IL,1,2.96E-05
17141,Ogle,IL,1,1.94E-05
17143,Peoria,IL,2,1.07E-05
17163,St. Clair,IL,1,3.78E-06
17167,Sangamon,IL,7,3.52E-05
17169,Schuyler,IL,2,0.0002796811635
17177,Stephenson,IL,2,4.38E-05
17179,Tazewell,IL,3,2.23E-05
17187,Warren,IL,2,0.0001145803495
17195,Whiteside,IL,1,1.76E-05
17197,Will,IL,5,7.29E-06
17201,Winnebago,IL,7,2.44E-05
18001,Adams,IN,1,2.86E-05
18109,Morgan,IN,1,1.44E-05
18119,Owen,IN,1,4.80E-05
18123,Perry,IN,1,5.18E-05
18127,Porter,IN,7,4.18E-05
18131,Pulaski,IN,1,7.81E-05
18141,St. Joseph,IN,2,7.45E-06
18157,Tippecanoe,IN,1,5.36E-06
18163,Vanderburgh,IN,1,5.51E-06
18167,Vigo,IN,1,9.30E-06
18177,Wayne,IN,1,1.49E-05
18179,Wells,IN,1,3.59E-05
19013,Black Hawk,IA,1,7.48E-06
19015,Boone,IA,1,3.78E-05
19163,Scott,IA,4,2.33E-05
19169,Story,IA,1,1.03E-05
19183,Washington,IA,1,4.52E-05
19193,Woodbury,IA,3,2.93E-05
20015,Butler,KS,1,1.51E-05
20045,Douglas,KS,1,8.46E-06
20133,Neosho,KS,1,6.14E-05
20149,Pottawatomie,KS,1,4.32E-05
20173,Sedgwick,KS,8,1.57E-05
20199,Wallace,KS,1,0.0006644518272
21015,Boone,KY,1,7.80E-06
21017,Bourbon,KY,2,9.92E-05
21029,Bullitt,KY,1,1.27E-05
21067,Fayette,GA,1,3.17E-06
21185,Oldham,KY,2,3.10E-05
21193,Perry,KY,1,3.65E-05
21205,Rowan,KY,1,4.06E-05
21213,Simpson,KY,1,5.59E-05
21227,Warren,KY,1,8.06E-06
21239,Woodford,KY,1,3.87E-05
22001,Acadia,LA,1,1.60E-05
22003,Allen,LA,1,3.90E-05
22097,St. Landry,LA,1,1.20E-05
22101,St. Mary,LA,1,1.89E-05
22103,St. Tammany,LA,2,8.03E-06
22105,Tangipahoa,LA,5,3.88E-05
22109,Terrebonne,LA,5,4.39E-05
22111,Union,LA,1,4.45E-05
23001,Androscoggin,ME,1,9.33E-06
23005,Cumberland,ME,10,3.45E-05
23023,Sagadahoc,ME,3,8.54E-05
23031,York,ME,5,2.48E-05
24001,Allegany,MD,1,1.38E-05
24003,Anne Arundel,MD,8,1.42E-05
24005,Baltimore,MD,11,1.33E-05
24009,Calvert,MD,4,4.42E-05
24013,Carroll,MD,3,1.79E-05
24015,Cecil,MD,2,1.95E-05
24017,Charles,MD,4,2.57E-05
24021,Frederick,MD,5,2.04E-05
24023,Garrett,MD,1,3.40E-05
24025,Harford,MD,5,2.00E-05
24027,Howard,MD,6,1.93E-05
24031,Montgomery,AL,2,1.94E-06
24031,Montgomery,AR,1,9.68E-07
24031,Montgomery,MD,16,1.55E-05
24033,Prince George's,MD,14,1.54E-05
24037,St. Mary's,MD,1,9.01E-06
24039,Somerset,MD,1,3.89E-05
24043,Washington,MD,4,2.68E-05
24045,Wicomico,MD,1,9.83E-06
24510,Baltimore City,MD,16,2.57E-05
25003,Berkshire,MA,2,1.56E-05
25005,Bristol,MA,6,1.08E-05
25009,Essex,MA,3,3.86E-06
25021,Norfolk,MA,4,5.76E-06
25023,Plymouth,MA,4,7.86E-06
25025,Suffolk,MA,9,1.15E-05
25027,Worcester,MA,3,3.67E-06
26005,Allegan,MI,2,1.75E-05
26021,Berrien,MI,1,6.45E-06
26037,Clinton,MI,2,2.60E-05
26047,Emmet,MI,1,3.04E-05
26049,Genesee,MI,4,9.75E-06
26063,Huron,MI,1,3.15E-05
26065,Ingham,MI,5,1.74E-05
26105,Mason,MI,1,3.48E-05
26115,Monroe,MI,3,2.01E-05
26121,Muskegon,MI,2,1.16E-05
26125,Oakland,MI,14,1.12E-05
26139,Ottawa,MI,2,7.12E-06
26145,Saginaw,MI,1,5.17E-06
26147,St. Clair,MI,4,2.50E-05
26149,St. Joseph,MI,2,3.29E-05
26151,Sanilac,MI,1,2.41E-05
26157,Tuscola,MI,1,1.86E-05
26159,Van Buren,MI,3,4.00E-05
26161,Washtenaw,MI,9,2.48E-05
26163,Wayne,MI,12,6.80E-06
27003,Anoka,MN,2,5.81E-06
27019,Carver,MN,2,2.03E-05
27037,Dakota,MN,5,1.21E-05
27045,Fillmore,MN,1,4.82E-05
27047,Freeborn,MN,1,3.28E-05
27053,Hennepin,MN,21,1.72E-05
27065,Kanabec,MN,1,6.29E-05
27079,Le Sueur,MN,1,3.60E-05
27097,Morrison,MN,1,3.05E-05
27103,Nicollet,MN,1,2.98E-05
27105,Nobles,MN,1,4.60E-05
27111,Otter Tail,MN,2,3.48E-05
27123,Ramsey,MN,8,1.49E-05
27139,Scott,MN,2,1.42E-05
27141,Sherburne,MN,1,1.09E-05
27145,Stearns,MN,1,6.41E-06
27149,Stevens,MN,2,0.0002025521572
27163,Washington,MN,1,3.99E-06
28003,Alcorn,MS,2,5.37E-05
28021,Claiborne,MS,1,0.0001085894234
28023,Clarke,MS,2,0.000124828361
28029,Copiah,MS,1,3.46E-05
28033,DeSoto,MS,5,2.89E-05
28111,Perry,MS,1,8.28E-05
28115,Pontotoc,MS,1,3.24E-05
28121,Rankin,MS,6,4.01E-05
28131,Stone,MS,2,0.0001094630836
28145,Union,MS,1,3.53E-05
28149,Warren,MS,1,2.11E-05
28151,Washington,MS,1,2.09E-05
28155,Webster,MS,1,0.0001012863365
29001,Adair,MO,3,0.0001183291918
29003,Andrew,MO,1,5.78E-05
29007,Audrain,MO,2,7.71E-05
29009,Barry,MO,1,2.83E-05
29019,Boone,MO,3,1.72E-05
29185,St. Clair,MO,1,0.0001062586335
29189,St. Louis,MO,20,2.00E-05
29209,Stone,MO,1,3.19E-05
29213,Taney,MO,3,5.53E-05
29223,Wayne,MO,1,7.45E-05
29229,Wright,MO,1,5.51E-05
29510,St. Louis City,MO,4,1.27E-05
30013,Cascade,MT,1,1.22E-05
30029,Flathead,MT,1,1.04E-05
30031,Gallatin,MT,1,9.91E-06
30047,Lake,MT,1,3.39E-05
30081,Ravalli,MT,1,2.43E-05
30111,Yellowstone,MT,1,6.39E-06
31013,Box Butte,NE,1,8.83E-05
31025,Cass,NE,1,3.93E-05
31055,Douglas,NE,5,9.11E-06
31095,Jefferson,NE,1,0.0001384849744
31109,Lancaster,NE,4,1.31E-05
31153,Sarpy,NE,2,1.14E-05
32003,Clark,NV,19,9.06E-06
32023,Nye,NV,1,2.33E-05
32031,Washoe,NV,6,1.36E-05
33011,Hillsborough,NH,2,4.89E-06
33013,Merrimack,NH,1,6.73E-06
33015,Rockingham,NH,4,1.32E-05
33017,Strafford,NH,4,3.15E-05
