fips,state_name,state,avg_medical_debt,pt_collections,avg_household_income,latitude,longitude 
02,Alaska,AK,1313,.1463462,96080,63.588753,-154.493062
01,Alabama,AL,1000,.1931399,69091,32.318231,-86.902298
05,Arkansas,AR,662,.2000561,66766,35.20105,-91.831833
04,Arizona,AZ,942,.1605858,80477,34.048928,-111.093731
06,California,CA,750,.0875485,107384,36.778261,-119.417932
08,Colorado,CO,748,.1266085,96218,39.550051,-105.782067
09,Connecticut,CT,560,.1118364,111303,41.603221,-73.087749
11,District of Columbia,DC,607,.072756,124946,38.905985,-77.033418
10,Delaware,DE,799,.1812786,84896,38.910832,-75.52767
12,Florida,FL,1065,.1795107,79968,27.664827,-81.515754
13,Georgia,GA,952,.1859255,82489,32.157435,-82.907123
15,Hawaii,HI,455,.0694005,103162,19.898682,-155.665857
19,Iowa,IA,605,.106213,77173,41.878003,-93.097702
16,Idaho,ID,1013,.1258236,73369,44.068202,-114.742041
17,Illinois,IL,644,.1453649,91424,40.633125,-89.398528
18,Indiana,IN,813,.1915442,73733,40.551217,-85.602364
20,Kansas,KS,824,.1808382,78972,39.011902,-98.484246
21,Kentucky,KY,501,.1859536,69724,37.839333,-84.270018
22,Louisiana,LA,853,.2312626,69225,31.244823,-92.145024
25,Massachusetts,MA,402,.0493374,110501,42.407211,-71.382437
24,Maryland,MD,530,.1219904,109774,39.045755,-76.641271
23,Maine,ME,919,.1801662,73935,45.253783,-69.445469
26,Michigan,MI,492,.1452761,77682,44.314844,-85.602364
27,Minnesota,MN,425,.0240079,93047,46.729553,-94.6859
29,Missouri,MO,877,.1929489,75013,37.964253,-91.831833
28,Mississippi,MS,866,.1918965,61944,32.354668,-89.398528
30,Montana,MT,815,.130181,72648,46.879682,-110.362566
37,North Carolina,NC,708,.2076762,76693,35.759573,-79.0193
38,North Dakota,ND,562,.0611893,82435,47.551493,-101.002012
31,Nebraska,NE,745,.076882,78793,41.492537,-99.901813
33,New Hampshire,NH,537,.0802979,97994,43.193852,-71.572395
34,New Jersey,NJ,531,.1305638,114853,40.058324,-74.405661
35,New Mexico,NM,741,.1802036,66752,34.97273,-105.032363
32,Nevada,NV,909,.1868387,81039,38.80261,-116.419389
36,New York,NY,484,.0648231,100422,43.299428,-74.217933
39,Ohio,OH,678,.1694579,76151,40.417287,-82.907123
40,Oklahoma,OK,1176,.2266455,71632,35.007752,-97.092877
41,Oregon,OR,625,.0617407,85235,43.804133,-120.554201
42,Pennsylvania,PA,583,.1150749,83765,41.203322,-77.194525
44,Rhode Island,RI,584,.0609933,86601,41.580095,-71.477429
45,South Carolina,SC,957,.249217,72742,33.836081,-81.163725
46,South Dakota,SD,726,.0417372,74046,43.969515,-99.901813
47,Tennessee,TN,996,.2048953,73456,35.517491,-86.580447
48,Texas,TX,1068,.2267074,85780,31.968599,-99.901813
49,Utah,UT,1012,.1365655,91096,39.32098,-111.093731
51,Virginia,VA,790,.1648413,100884,37.431573,-78.656894
50,Vermont,VT,581,.0542008,79514,44.558803,-72.577841
53,Washington,WA,604,.0535447,99762,47.751074,-120.740139
55,Wisconsin,WI,904,.1102886,79656,43.78444,-88.787868
54,West Virginia,WV,669,.2699997,61707,38.597626,-80.454903
56,Wyoming,WY,1563,.1828445,81935,43.075968,-107.290284
