fips,county,state,total,per_capita,avg_medical_debt,pc_collections,state_name
02,Anchorage,AK,4,1.34E-05,1313,.1463462,Alaska
01,Autauga,AL,1,1.82E-05,1000,.1931399,Alabama
05,Benton,AR,4,1.59E-05,662,.2000561,Arkansas
04,Cochise,AZ,2,1.58E-05,942,.1605858,Arizona
06,Alameda,CA,35,2.14E-05,750,.0875485,California
08,Adams,CO,11,2.24E-05,748,.1266085,Colorado
09,Fairfield,CT,8,8.47E-06,560,.1118364,Connecticut
11,District of Columbia,DE,17,2.52E-05,607,.072756,Delaware
10,Baldwin,FL,1,4.93E-06,799,.1812786,Florida
12,Cobb,GA,59,7.98E-05,1065,.1795107,Georgia
13,Hawaii,HI,1,5.10E-06,952,.1859255,Hawaii
15,Black Hawk,IA,1,7.48E-06,455,.0694005,Iowa
19,Ada,ID,15,3.47E-05,605,.106213,Idaho
16,Champaign,IL,5,2.39E-05,1013,.1258236,Illinois
17,Cook,IN,1,1.91E-07,644,.1453649,Indiana
18,Butler,KS,1,1.51E-05,813,.1915442,Kansas
20,Boone,KY,1,7.80E-06,824,.1808382,Kentucky
21,Lafayette,LA,2,8.36E-06,501,.1859536,Louisiana
22,Berkshire,MA,2,1.56E-05,853,.2312626,Massachusetts
25,Baltimore,MD,11,1.33E-05,402,.0493374,Maryland
24,Androscoggin,ME,1,9.33E-06,530,.1219904,Maine
23,Allegan,MI,2,1.75E-05,919,.1801662,Michigan
26,Anoka,MN,2,5.81E-06,492,.1452761,Minnesota
27,Adair,MO,3,0.0001183291918,425,.0240079,Missouri
29,Alcorn,MS,2,5.37E-05,877,.1929489,Mississippi
28,Yellowstone,MT,1,6.39E-06,866,.1918965,Montana
30,Alamance,NC,2,1.27E-05,815,.130181,North Carolina
37,Cass,ND,3,1.76E-05,708,.2076762,North Dakota
38,Box Butte,NE,1,8.83E-05,562,.0611893,Nebraska
31,Hillsborough,NH,2,4.89E-06,745,.076882,New Hampshire
33,Atlantic,NJ,3,1.11E-05,537,.0802979,New Jersey
34,Santa Fe,NM,5,3.38E-05,531,.1305638,New Mexico
35,Washoe,NV,6,1.36E-05,741,.1802036,Nevada
32,Albany,NY,5,1.63E-05,909,.1868387,New York
36,Washington,OH,1,1.64E-05,484,.0648231,Ohio
39,Caddo,OK,1,3.40E-05,678,.1694579,Oklahoma
40,Washington,OR,22,3.84E-05,1176,.2266455,Oregon
41,Adams,PA,3,2.95E-05,625,.0617407,Pennsylvania
42,Kent,RI,1,6.11E-06,583,.1150749,Rhode Island
44,Aiken,SC,6,3.62E-05,584,.0609933,South Carolina
45,Custer,SD,1,0.0001184272856,957,.249217,South Dakota
46,Anderson,TN,5,6.63E-05,726,.0417372,Tennessee
47,Lincoln,TX,1,2.13E-05,996,.2048953,Texas
48,Davis,UT,1,2.99E-06,1068,.2267074,Utah
49,Virginia Beach City,VA,3,6.66E-06,1012,.1365655,Virginia
51,District of Columbia,DC,1,1.48E-06,790,.1648413,District of Columbia
50,Addison,VT,1,2.71E-05,581,.0542008,Vermont
53,Asotin,WA,1,4.52E-05,604,.0535447,Washington
55,Brown,WI,4,1.55E-05,904,.1102886,Wisconsin
54,Honolulu,WV,1,1.01E-06,669,.2699997,West Virginia
56,Campbell,WY,1,2.03E-05,1563,.1828445,Wyoming
