hospital_name,city,county,state,zip_code,address,hospital_type,System,Beds,link_financial_assistance,financial_assistance_info,fap_link,policy_available,qualifying_incom_free_care,qualifying_incom_discounted_care,asset_test,provision_for_medical_bill,residency_restriction,reports_unpaid_bills,uses_third_party,sells_debt,sues_patients,garnishes_wages,restricts_care,
ASCENSION PROVIDENCE ,MOBILE,Mobile,AL,36608,6801 AIRPORT BOULEVARD,"Church-operated, not for profit",Ascension Healthcare,305,Yes,Yes,https://drive.google.com/file/d/1FhQdUhv7bRvPhXIoBbTnI88LNAH0S3SZ/view?usp=sharing,https://drive.google.com/file/d/1kcVI9rffMimEgcWPjWPKDrcox1Eq-eEw/view?usp=sharing,Below 250% FPL,250-400% FPL (sliding scale),"Yes, assets must not exceed 250% FPL","Yes, ""Means Test"" discount for patients above 400% FPL with bill greater than annual income",Yes (Alabama),Yes,Yes,Yes,Yes,Yes,Yes,
GRANDVIEW MEDICAL CENTER,BIRMINGHAM,Jefferson,AL,35211,3690 GRANDVIEW PARKWAY,"Corporation, investor owned, for profit","Community Health Systems, Inc.",414,No,No,No publicly available policy,No,"No available policy, but below 100% FPL, according to spokeswoman Rebecca Pitt","No available policy, but 100-400% FPL, for uninsured only, according to spokeswoman Rebecca Pitt","Yes, according to website","No policy, but hospital may grant relief in some cases, according to spokeswoman Rebecca Pitt","No, according to website","No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is not a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is not a practice of the hospital, according to spokeswoman Rebecca Pitt",
NORTH ALABAMA SHOALS HOSPITAL,MUSCLE SHOALS,Colbert,AL,35661,201 WEST AVALON AVENUE,"Hospital district or authority-government, non-federal",Lifepoint Health,137,No,No,https://www.namcshoals.com/sites/shoals/assets/uploads/Patients%20&%20Visitors/finanacial_assistance_notice.pdf,No,"Below 150% FPL of 2009, according to the Notice of Availability of Charity Care/Financial Assistance","N/A

No, not mentioned in the FAP but not a practice of the hospital, according to Michelle Augusty","Yes, according to Financial Assistance application","Yes, maximum liability for medical bills is 20% of patient’s income, according to the Notice of Availability of Charity Care/Financial Assistance","No, not mentioned in the Financial Assistance Policy, but not a practice of the hospital, according to Michelle Augusty","No, not mentioned in the Financial Assistance Policy, but not a practice of the hospital, according to Michelle Augusty","Yes, not mentioned in the Financial Assistance Policy, but is a practice of the hospital, according to Michelle Augusty","Yes, not mentioned in the Financial Assistance Policy, but is a practice of the hospital, according to Michelle Augusty","No, not mentioned in the Financial Assistance Policy, but not a practice of the hospital, according to Michelle Augusty","No, not mentioned in the Financial Assistance Policy, but not a practice of the hospital, according to Michelle Augusty","No, not mentioned in the Financial Assistance Policy, but not a practice of the hospital, according to Michelle Augusty",
COMMUNITY HOSPITAL ,TALLASSEE,Elmore,AL,36078,805 FRIENDSHIP ROAD,Other Not-for-profit,N/A,47,Yes,No search tool,http://www.chal.org/financial_assistance_policy_and_application_final.pdf,No,Below 100% FPL,100-200% FPL,No,No standards specified,No,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,"Yes, but not for medically necessary care",
ASCENSION ST VINCENT'S BIRMINGHAM,BIRMINGHAM,Jefferson,AL,35211,810 ST VINCENT'S DRIVE,Other Not-for-profit,Ascension Healthcare,409,Yes,Yes,https://drive.google.com/file/d/1EKljft0CapYhV0zx78bso99tXSo9nM8_/view?usp=sharing,https://drive.google.com/file/d/1Z5VwfGTn47WlvarH3x0VQmhHfJN0dT4i/view?usp=sharing,Below 250% FPL,250-400% FPL (sliding scale),"Yes, assets must not exceed 250% FPL","Yes, ""Means Test"" discount for patients above 400% FPL with bill greater than annual income",Yes (Alabama),Yes,Yes,Yes,Yes,Yes,Yes,
JACKSON MEDICAL CENTER,JACKSON,Clarke,AL,36545,220 HOSPITAL DRIVE,"Partnership, investor owned, for profit",Gilliard Health Services,26,No,No,No  ,No,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,
MEDICAL CENTER OF SOUTH ARKANSAS,EL DORADO,Union,AR,71730,700 WEST GROVE STREET,"Corporation, investor owned, for-profit","Community Health Systems, Inc.",121,No,No,No publicly available policy,No,"No available policy, but below 100% FPL, according to spokeswoman Rebecca Pitt","No available policy, but 100-400% FPL, for uninsured only, according to spokeswoman Rebecca Pitt","Yes, according to website","No policy, but hospital may grant relief in some cases, according to spokeswoman Rebecca Pitt","No, according to website","No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is not a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is not a practice of the hospital, according to spokeswoman Rebecca Pitt",
WASHINGTON REGIONAL,FAYETTEVILLE,Washington,AR,72701,3215 N NORTH HILLS BOULEVARD,Other not-for-profit,,342,"Yes, bottom of page",Yes,https://www.wregional.com/Uploads/Public/Documents/Financial_Assistance_Charity_Care_policy_English.pdf,Included in FAP,Below 138% FPL,"138-200% FPL (everyone)

200-400% FPL (uninsured)",Yes,,Yes (WRMC's primary service area counties in Arkansas),Yes,Yes,,Yes,Yes,,
UNITY HEALTH - WHITE COUNTY MEDICAL CENTER,SEARCY,White,AR,72143,3214 EAST RACE AVENUE,Other not-for-profit,Unity Health,232,"Yes, under the ""patients & visitors"" tab","Yes, but not the first link",https://res.cloudinary.com/dpmykpsih/image/upload/unity-health-site-301/media/2f8c439317f649c181034779b6987a99/financial-assistance-policy_10_13_2020.pdf,"No, some info included in FAP",Below 150% FPL,150-250% FPL,Yes,"Yes, catastrophic assistance (case by case)","No, according to Leslie Altom, Director of Patient Access","Yes. Not mentioned in policy, but is a practice, according to Leslie Altom, Director of Patient Access",Yes,"Yes. Not mentioned in policy, but is a practice, according to Leslie Altom, Director of Patient Access","Yes. Not mentioned in policy, but is a practice, according to Leslie Altom, Director of Patient Access","Yes. Not mentioned in policy, but is a practice, according to Leslie Altom, Director of Patient Access",No,
CONWAY REGIONAL HEALTH SYSTEM,CONWAY,Faulkner,AR,72034,2302 COLLEGE AVENUE,Other not-for-profit,,169,"Yes, under ""billing and insurance"" at the bottom",No,https://www.conwayregional.org/docs/default-source/crhs/business-office/financial-assistance-policy-010122-english-final-2022.pdf?sfvrsn=d3c089e8_3,No,Below 225% FPL,225-300% FPL,Yes,"Yes, medical indigence or financial hardship, according to the Plain Language Summary",No,,Yes,,,,,
